Title,Channel,Views,Likes,Comments,Hashtags_Count,Caption_Length,Posting_Hour,Video_Link,Title_Clean,Like_Rate,Comment_Rate,Engagement_Score
My V Badge ID Banned Bye Bye 💔 ,SATVIK,1138473,50071,5159,0,0,4,https://www.youtube.com/watch?v=tsCJm56CpQs,My V Badge ID Banned Bye Bye,4.39808410036953,0.4531508432786724,5.304385786926876
हनुमान जयंती स्पेशल भजन | Hanuman Janmotsav Bhajan | Hanuman Janmotsanv 2026 | Hanuman Jayanti 2026,Bhakti Sadhna भक्ति साधना,379767,2640,185,68,3573,23,https://www.youtube.com/watch?v=_-P_xOtiOSg,हनमन जयत सपशल भजन Hanuman Janmotsav Bhajan Hanuman Janmotsanv 2026 Hanuman Jayanti 2026,0.6951630868400888,0.048714079949021376,0.7925912467381315
Ramayana Rama Teaser Pre-REVIEW | Deeksha Sharma,Filmi Indian,455336,17104,971,3,543,7,https://www.youtube.com/watch?v=eTR0ohiIsnM,Ramayana Rama Teaser Pre-REVIEW Deeksha Sharma,3.756346961364794,0.21324911713547795,4.18284519563575
Mithe Tere Bol Pari - Masoom Sharma | Aman Jaji | Pranjal Dahiya | New Haryanvi Song 2026,Freefore81,151106,425,11,12,1736,14,https://www.youtube.com/watch?v=UeWuDOH8NvE,Mithe Tere Bol Pari - Masoom Sharma Aman Jaji Pranjal Dahiya New Haryanvi Song 2026,0.28125951318941667,0.007279657988431961,0.2958188291662806
श्री हनुमान जन्मोत्सव स्पेशल :- श्री हनुमान भक्तिगीते व आरती | Hanuman Songs | Hanuman Bhaktigeete,Wings Marathi Bhakti,119280,515,24,3,1087,22,https://www.youtube.com/watch?v=8MDamkMUCmY,शर हनमन जनमतसव सपशल - शर हनमन भकतगत व आरत Hanuman Songs Hanuman Bhaktigeete,0.431757209926224,0.02012072434607646,0.4719986586183769
Rama | Namit Malhotra's Ramayna Glimpse Reaction And Review | Yash Ramayana Official Teaser |Prabhas,Ra One For You,78949,2927,338,9,760,5,https://www.youtube.com/watch?v=qlRA2994tn8,Rama Namit Malhotra's Ramayna Glimpse Reaction And Review Yash Ramayana Official Teaser Prabhas,3.7074567125612736,0.4281244854273012,4.563705683415876
I Secretly Used //INFINITE to Cheat in Minecraft,Mc flame,176999,2804,82,5,555,7,https://www.youtube.com/watch?v=gS2F7N7KK-I,I Secretly Used INFINITE to Cheat in Minecraft,1.5841897411849784,0.04632794535562348,1.6768456318962253
श्री हनुमान चालीसा 🌺🙏 shree hanuman chalisa original video 🙏🌺gulshan kumarhariharan full h,Aarvi Bhakti Bhajan,89886,724,20,92,3477,2,https://www.youtube.com/watch?v=CVfgEkFR-R0,शर हनमन चलस shree hanuman chalisa original video gulshan kumarhariharan full h,0.8054646997307701,0.022250406069910775,0.8499655118705917
SUPERGIRL | Official Trailer,DC,11988036,256627,14741,1,1519,16,https://www.youtube.com/watch?v=s1-pfiVMKAs,SUPERGIRL Official Trailer,2.140692603859381,0.12296426203591648,2.386621127931214
THE END | Resident Evil Requiem - Part 11,BeastBoyShub,604022,51064,4757,0,708,12,https://www.youtube.com/watch?v=U7VOy3W0cCo,THE END Resident Evil Requiem - Part 11,8.453996708729154,0.7875540957117457,10.029104900152646
"हनुमान जयंती Special | हनुमान जयंती कथा | हनुमान जन्म कथा | Ds Pal, Hanuman Jayanti Katha 2026,Katha",Sonotek Bhakti,164037,2016,129,10,2477,22,https://www.youtube.com/watch?v=uXNWe2z1iv8,"हनमन जयत Special हनमन जयत कथ हनमन जनम कथ Ds Pal, Hanuman Jayanti Katha 2026,Katha",1.2289910203185868,0.07864079445490957,1.386272609228406
Manithan Deivamagalam - Official Trailer | Selvaraghavan | Kushee Ravi | Dennis Manjunath,Saregama Tamil,84109,1796,47,5,2111,12,https://www.youtube.com/watch?v=xBA1JMHfiTw,Manithan Deivamagalam - Official Trailer Selvaraghavan Kushee Ravi Dennis Manjunath,2.135324400480329,0.05587987016847187,2.247084140817273
HACKER WON GAMING PC IN SOLO TOURNAMENT ?  REACTION 😱,Desi Army,490692,23892,1350,4,674,12,https://www.youtube.com/watch?v=25WWnL2wJdA,HACKER WON GAMING PC IN SOLO TOURNAMENT ? REACTION,4.869042087500917,0.2751216649140398,5.419285417328997
Hanuman jayanthi Songs | హనుమాన్ జయంతి స్పెషల్ పాటలు | Hanuman Songs   Powerful Hanuman songs,Maha Mantram - మహా మంత్రం ,99124,430,33,2,858,22,https://www.youtube.com/watch?v=4IRFnp_6mrg,Hanuman jayanthi Songs హనమన జయత సపషల పటల Hanuman Songs Powerful Hanuman songs,0.43380008877769255,0.033291634720148504,0.5003833582179895
Ranbir Kapoor की Ramayana का Teaser देख लोग क्यों बोल रहे- ये हमारी रामायण नहीं? Namit Malhotra,Lallantop Cinema,59382,1316,125,0,635,12,https://www.youtube.com/watch?v=msr70dqQL6A,Ranbir Kapoor क Ramayana क Teaser दख लग कय बल रह- य हमर रमयण नह? Namit Malhotra,2.216159779057627,0.21050149877067126,2.6371627765989696
Kab aaoge Pardesi Piya 💔🥀 sad song had teaching 😭💔 breakup songs 😭💔 gaming ,Vishnu tha mugic,413534,909,18,5,407,17,https://www.youtube.com/watch?v=UqpyPrFkqYY,Kab aaoge Pardesi Piya sad song had teaching breakup songs gaming,0.21981263934767156,0.004352725531637061,0.22851809041094567
 New Song 2026 | Dil Tere Naam | Ranveer Singh | Sara Arjun | New Hindi Song | Romantic Song 2026,Prakash Jojawar,323500,2386,53,29,2814,2,https://www.youtube.com/watch?v=QAFcT4qqlF8,New Song 2026 Dil Tere Naam Ranveer Singh Sara Arjun New Hindi Song Romantic Song 2026,0.7375579598145287,0.016383307573415766,0.7703245749613602
SPIDER-MAN: BRAND NEW DAY - Official Trailer (Hindi) | Exclusively In Cinemas 31 July,Sony Pictures Entertainment India,1116902,35480,528,16,638,9,https://www.youtube.com/watch?v=E1kipafZW2I,SPIDER-MAN BRAND NEW DAY - Official Trailer Hindi Exclusively In Cinemas 31 July,3.1766439669729305,0.04727361935066819,3.271191205674267
GTA 5 : Franklin Finally Took His Revenge From The Car Showroom In Gta 5 !,Flight Gamer,225549,7425,566,0,699,7,https://www.youtube.com/watch?v=n1Yd6NkRFok,GTA 5 Franklin Finally Took His Revenge From The Car Showroom In Gta 5 !,3.2919675990582977,0.2509432540157571,3.793854107089812
चीता - जय भीम बोल के | Sanjay Yaduvanshi |,Sanjay Sultanpuriya ,82628,14561,3772,2,830,12,https://www.youtube.com/watch?v=BfudSWLBAK0,चत - जय भम बल क Sanjay Yaduvanshi,17.62235561795033,4.565038485743331,26.752432589436992
Raja Shivaji First Look Teaser Review | Yogi Bolta Hai,YOGI BOLTA HAI,299488,12440,677,8,1920,4,https://www.youtube.com/watch?v=kGRp3Tgjivw,Raja Shivaji First Look Teaser Review Yogi Bolta Hai,4.15375574313495,0.22605246286996472,4.60586066887488
NEW SQUAD SERIOUS 18 WWCD STREAK CHALLENGE  - #iQOO #iQOO15R,Snax Gaming,297442,17608,13,1,395,13,https://www.youtube.com/watch?v=6c8IlAhVRdI,NEW SQUAD SERIOUS 18 WWCD STREAK CHALLENGE - #iQOO #iQOO15R,5.919809576320762,0.0043705999825176005,5.928550776285797
താലത്തിൽ വെള്ളമെടുത്തു | പെസഹാ വ്യാഴാഴ്ചകളെ എന്നും ഭക്തിസാന്ദ്രമാക്കിയ മനോഹരഗാനം |#Pesahasongs| 2026,Das Creations,140738,1564,130,18,1011,13,https://www.youtube.com/watch?v=Tax5O3lCT0o,തലതതൽ വളളമടതത പസഹ വയഴഴചകള എനന ഭകതസനദരമകകയ മനഹരഗന #Pesahasongs 2026,1.1112847987039747,0.09237021984112322,1.2960252383862212
Aadu 3 Success Teaser | Jayasurya | Midhun Manuel Thomas | Vijay Babu & Venu Kunnappilly| Vinayakan,Friday Film House,443707,16455,535,14,3181,11,https://www.youtube.com/watch?v=mzuA8d72mXU,Aadu 3 Success Teaser Jayasurya Midhun Manuel Thomas Vijay Babu Venu Kunnappilly Vinayakan,3.7085283757073926,0.12057506417523275,3.949678504057858
I Evolved MY SPINNER To MAX LEVEL!,I. M. Bixu,193422,7423,719,0,691,11,https://www.youtube.com/watch?v=-Ez7lC_nByo,I Evolved MY SPINNER To MAX LEVEL!,3.8377226995894986,0.37172607045734196,4.5811748405041826
2026 हनुमान जयंती Special - हैप्पी बर्थडे वीर हनुमान - Happy Birthday Veer Hanuman - Naresh Saini,Ambey Bhakti,271189,2974,127,19,4738,22,https://www.youtube.com/watch?v=zUuAd8UwNkk,2026 हनमन जयत Special - हपप बरथड वर हनमन - Happy Birthday Veer Hanuman - Naresh Saini,1.0966521503453313,0.04683080803424918,1.1903137664138297
RAMAYANA | Official Teaser Trailer (2026) 4K,JoBlo Movie Network,53724,518,110,3,588,13,https://www.youtube.com/watch?v=QF7H-tDf5Nk,RAMAYANA Official Teaser Trailer 2026 4K,0.9641873278236914,0.20475020475020475,1.373687737324101
I Found THE STRONGEST CONTROL Fruit In Blox Fruits 😱 | Roblox,NotGamerFleet,322054,29022,4806,0,469,6,https://www.youtube.com/watch?v=HNrpnftf5JM,I Found THE STRONGEST CONTROL Fruit In Blox Fruits Roblox,9.01153222751464,1.492296322976892,11.996124873468425
हनुमान जन्मोत्सव विशेष श्री हनुमानाचा पाळणा l Hanuman Palna Marathi l Hanuman Janma Palna Marathi,Shri Swami Bhakti,85607,824,37,9,2878,23,https://www.youtube.com/watch?v=55eEarlXAYg,हनमन जनमतसव वशष शर हनमनच पळण l Hanuman Palna Marathi l Hanuman Janma Palna Marathi,0.9625381102012686,0.0432207646570958,1.0489796395154602
