Title,Channel,Views,Likes,Comments,Hashtags_Count,Caption_Length,Posting_Hour,Video_Link
Franklin Traps ALL HAUNTED GHOST Inside Evil Watch In Indian Bike Driving 3D! 😱,NessFit Gamer,146823,0,7,4,1678,13,https://www.youtube.com/watch?v=A4N2_El-2uk
आज हनुमान जन्मोत्सव के दिन हनुमान जी की चमत्कारी जन्म कथा सुनने से सभी मनोकामनाएं पूर्ण होती है.....,Bhakti Darshan,101040,1547,158,17,1378,22,https://www.youtube.com/watch?v=otswaHyi-Bc
Granny ♥️  | 🔥Noob Angry Granny Live Stream🔥| ⚡ Pro Granny Can not Catch Me ⚡,Itz Gamer Tony,797121,2793,0,4,179,9,https://www.youtube.com/watch?v=0FNobkfoKVs
Jay Hanuman | Nonstop DJ Mix | DJ Maddy Mumbai 2026,DJ Maddy Mumbai,45323,471,10,0,1039,3,https://www.youtube.com/watch?v=NDyOj2nkZME
Franklin Bought a New Car… Then Michael STOLE It 😭,Nadyummy,40176,1140,72,10,229,10,https://www.youtube.com/watch?v=KVBbaVnVra0
Hanuman Chalisa | Shankar Mahadevan | HanumanJayanti 2026 | Devotional Bhajans of Hanuman,Times Music Spiritual,123684,620,36,12,1700,12,https://www.youtube.com/watch?v=PlyZDHrmGI8
WATCHPARTY DAY 2 BE BOOYAH  I TG FOZYAJAY I TOTAL GAMING ESPORTS | #iQOOTG,TG FozyAjay,111791,8230,137,123,3667,15,https://www.youtube.com/watch?v=TE34wbhBAVc
THIRD - เตือนแล้วนะ (Love Warning) [2026] | OFFICIAL MV,THIRD,983102,130366,5099,6,3520,11,https://www.youtube.com/watch?v=vYJL_SOWhMg
Michael Got Kidnapped By Tommy Vercetti | Gta 5 Gameplay #646,Insane Gaming With Mayank,88170,7670,364,1,239,13,https://www.youtube.com/watch?v=2THFikekGpg
#Video | का मुंह देखइबू हमरा माई के | #Raushan Rohi का #दर्दभरा गाना | New #Sad Song 2026,Raushan Rohi Entertainment,640695,37366,2745,0,1016,2,https://www.youtube.com/watch?v=UAS3Y4YcwiE
GTA V : Franklin And Shinchan Become GOLDEN BILLIONAIRE In GTA 5 Telugu | SHINCHAN and CHOP,Pennem Star,48950,748,15,6,339,11,https://www.youtube.com/watch?v=kDZv9Di27xo
"हनुमान जयंती Special | हनुमान चालीसा, हनुमान भजन | Hanuman Jayanti Dj Song 2026 | Hanuman Song 2026",Chanda Pop Songs,56142,201,20,16,3600,12,https://www.youtube.com/watch?v=_KJzZcFGTdo
ROBLOX GUESS THE CLONE OR LOSE !!,GemBlox,88818,2849,1865,4,521,12,https://www.youtube.com/watch?v=GxczqjgICE8
Dhanya Dhanya Anjani Na Jaya Hanumanji | Gujarati Devotional Bhajan|ધન્ય ધન્ય અંજનીના જાયા હનુમાનજી,Bhakti Ras,26399,198,3,3,419,23,https://www.youtube.com/watch?v=TdUphhDD4so
LIVE 🛑 GTA V SUPERCAR SPEED TEST  #gta5 #gaming #gtav,Hear Is Live,650733,5231,0,38,808,8,https://www.youtube.com/watch?v=2YxnWqsaPR8
Best Hanuman Chalisa | Daily Listening | MPD Bhakti Marathi Hanuman Jayanti Special,MPD Bhakti Marathi,17455,53,0,19,1450,12,https://www.youtube.com/watch?v=N3eDIA0nwro
